    附件


序号       所属省   所属市    所属县（区）              学校名称
165   河北省   廊坊市       香河县                 香河县第十三中学
166   河北省   承德市       双桥区                 承德市现代城小学
167   河北省   承德市       隆化县                 隆化天卉完全中学
168   河北省   承德市       承德县                承德县三家镇蒙古族小学
169   河北省   承德市       平泉市                 平泉市英才苑小学
170   河北省   衡水市       阜城县                  阜城县第五中学
171   河北省   衡水市       故城县                河北省故城县高级中学
172   河北省   保定市       莲池区                   保定中学
173   河北省   承德市       双桥区                 承德市世纪城小学
174   河北省   承德市       兴隆县               兴隆县挂兰峪镇挂兰峪小学
175   河北省   承德市       兴隆县               兴隆县大杖子乡车河堡小学
176   河北省   承德市       平泉市                 平泉市小寺沟中学
177   河北省   衡水市       桃城区                  衡水泰华中学
178   河北省   衡水市       冀州区               衡水市冀州区第三实验小学
179   河北省   衡水市       武邑县                  武邑县第八小学
180   河北省   衡水市       冀州区               衡水市冀州区冀州镇第一中学
181   河北省   承德市    围场满族蒙古族自治县          围场满族蒙古族自治县腰站中学
182   河北省   承德市       双滦区               承德市双滦区陈栅子中心小学
183   河北省   承德市    围场满族蒙古族自治县         围场满族蒙古族自治县围场镇第六小学
184   河北省   承德市     丰宁满族自治县              丰宁满族自治县第七小学
185   河北省   承德市       承德县                承德县头沟镇瓦房小学
186   河北省   承德市    围场满族蒙古族自治县           围场县腰站学区蓝旗卡伦小学
187   河北省   承德市     丰宁满族自治县            丰宁满族自治县职业技术教育中心
188   河北省   廊坊市       文安县               文安县新镇镇周庄子中心校
189   河北省   廊坊市       安次区                  廊坊市第一小学
190   河北省   承德市       双滦区                  双滦区第六小学
191   河北省   承德市       承德县                  承德圣继学校
192   河北省   邢台市       沙河市                  沙河市第六中学
193   河北省   邢台市       沙河市                  沙河市湡水学校
194   河北省   邢台市       柏乡县                柏乡县固城店中心小学
195   河北省   邢台市       柏乡县                 柏乡县南马中心小学
196   河北省   廊坊市     大厂回族自治县           大厂回族自治县夏垫镇夏垫中心小学
197   河北省   廊坊市     大厂回族自治县           大厂回族自治县大厂镇王必屯中心小学
198   河北省   廊坊市       霸州市                河北省霸州市第五小学
199   河北省   廊坊市       固安县                  固安县第九小学
200   河北省   廊坊市       霸州市                  霸州市第二中学
201   河北省   廊坊市       霸州市                河北省霸州市第二小学
202   河北省   廊坊市       霸州市                霸州市胜芳镇红光小学
203   河北省   廊坊市       固安县                  固安县郦湖小学
204   河北省   廊坊市       三河市                 三河市第三实验小学
205   河北省   廊坊市       霸州市                  霸州市第五中学
206   河北省   廊坊市       文安县                 文安县滩里镇中学
207   河北省   廊坊市       安次区               廊坊市安次区东沽港镇中学
208   河北省   廊坊市       广阳区           北京大兴国际机场临空经济区 （廊坊）初级中学
209   河北省   廊坊市       文安县             文安县大围河回族满族乡东桥中心校
210   河北省   廊坊市       安次区              廊坊市安次区码头镇西安庄小学
211   河北省   廊坊市       文安县                文安县大围河乡贾头小学
212   河北省   廊坊市       广阳区             廊坊市广阳区万庄镇伊指挥营中心小学
213   河北省   廊坊市       三河市                 三河市第三实验中学
214   河北省   廊坊市       三河市                 三河市北杨庄小学
215   河北省   廊坊市       固安县                  固安县第八小学
216   河北省   廊坊市       霸州市                河北省霸州市第六小学
217   河北省   廊坊市       三河市                河北省三河市沟北小学
218   河北省   廊坊市       固安县                  固安县第七小学
219   河北省   秦皇岛市      海港区                秦皇岛市海港区河东小学




                                4
